,0
Dst Port,0.08683117006320532
Flow IAT Max,0.06713423630281325
Idle Max,0.04634183604998799
Init Fwd Win Byts,0.04552735236916314
Fwd IAT Max,0.039381156463086035
Bwd Pkts/s,0.03594388835639328
Fwd IAT Tot,0.035728186979600084
Bwd IAT Max,0.03563451550664918
Flow IAT Min,0.03393451560869603
Flow Duration,0.03340115772738514
Fwd Pkts/s,0.0333976709077762
Bwd IAT Tot,0.030121857620602436
Flow IAT Mean,0.028933751761167498
Flow Pkts/s,0.02714110079944767
Fwd IAT Mean,0.025264944071833866
Fwd Seg Size Min,0.02287151334069301
Init Bwd Win Byts,0.02214969879235278
Idle Mean,0.020321363852844273
Flow IAT Std,0.018961528341840644
Fwd IAT Min,0.018587325082042624
Fwd IAT Std,0.014732208727932666
Bwd IAT Mean,0.014205167013308444
Idle Min,0.01359959129341276
Bwd IAT Std,0.012340694063888429
Flow Byts/s,0.011678342392359452
Fwd Header Len,0.010944552853639029
Bwd IAT Min,0.010864463580112147
Bwd Header Len,0.009766538660418175
Active Min,0.00870124112221258
PSH Flag Cnt,0.00868848630889104
Fwd Pkt Len Mean,0.008479903679984368
Pkt Len Mean,0.008385956053303032
Pkt Size Avg,0.00768433489241488
ACK Flag Cnt,0.0075556477532465645
Fwd Seg Size Avg,0.007543612041187183
Tot Fwd Pkts,0.007484324353942302
Active Max,0.007218676468706762
Idle Std,0.007157030918449071
Subflow Bwd Pkts,0.006993685549402881
Subflow Fwd Pkts,0.006809743902694121
Pkt Len Var,0.006396873681905977
Tot Bwd Pkts,0.006154654828680573
Subflow Fwd Byts,0.006111486610705964
Fwd Pkt Len Max,0.006016231561248526
Pkt Len Std,0.005766850440392221
Pkt Len Max,0.0057564687914796065
Active Mean,0.005756148650554908
Fwd Pkt Len Std,0.005696547830961293
Active Std,0.0055775678264688685
TotLen Fwd Pkts,0.005551940796407727
Bwd Pkt Len Mean,0.004765931030506235
Bwd Seg Size Avg,0.004038692094836438
Fwd Act Data Pkts,0.003919809791570642
Subflow Bwd Byts,0.003662544011298761
TotLen Bwd Pkts,0.0031282361143673016
Bwd Pkt Len Std,0.0030387343296011116
URG Flag Cnt,0.0029967623267430684
Pkt Len Min,0.0028102783551611455
Fwd Pkt Len Min,0.0023600147567877047
Down/Up Ratio,0.002158997821098263
Bwd Pkt Len Max,0.0018250285945039463
RST Flag Cnt,0.0016209931046816943
ECE Flag Cnt,0.001454551889298211
Bwd Pkt Len Min,0.0010567101700900445
Fwd URG Flags,0.0008540133855320534
CWE Flag Count,0.0008290986388025127
FIN Flag Cnt,0.0008228329694752789
SYN Flag Cnt,0.0007944291367718455
Fwd PSH Flags,0.0006345988329818002
Bwd PSH Flags,0.0
Bwd URG Flags,0.0
Bwd Blk Rate Avg,0.0
Bwd Pkts/b Avg,0.0
Fwd Pkts/b Avg,0.0
Fwd Byts/b Avg,0.0
Bwd Byts/b Avg,0.0
Fwd Blk Rate Avg,0.0
